Date and time             |    Object name  | Inlier Fraction |  Error  |     T(| x | y | z |)     |    R(| w | x | y | z |)   |
Tue Nov 26 20:15:39 2013 	salt_test 	0.989546 	3.7272 	0.140562 -0.133604 1.11326  	0.684677 0.175045 0.175061 0.0567887 
Tue Nov 26 20:16:46 2013 	salt_test 	0.989546 	3.7272 	0.140562 -0.133604 1.11326  	0.684677 0.175045 0.175061 0.0567887 
Tue Nov 26 20:17:12 2013 	salt_test 	0.989546 	3.7272 	0.140562 -0.133604 1.11326  	0.684677 0.175045 0.175061 0.0567887 
Tue Nov 26 20:17:37 2013 	salt_test 	0.866522 	3.47568 	0.144465 -0.121344 1.11766  	0.65308 -0.26673 0.163836 0.248289 
Tue Nov 26 20:18:21 2013 	salt_test 	0.853391 	3.753 	0.144728 -0.121784 1.11603  	0.619711 -0.333324 0.184989 0.348717 
Tue Nov 26 20:22:44 2013 	salt_test 	0.852754 	3.55881 	0.136148 -0.122342 1.11715  	0.60325 -0.296275 -0.648455 0.357514 
Tue Nov 26 20:27:01 2013 	salt_test 	0.989546 	3.7272 	0.140562 -0.133604 1.11326  	0.684677 0.175045 0.175061 0.0567887 
Tue Nov 26 20:29:42 2013 	salt_test 	0.853391 	3.753 	0.144728 -0.121784 1.11603  	0.619711 -0.333324 0.184989 0.348717 
Tue Nov 26 20:32:36 2013 	salt_test 	0.852754 	3.55881 	0.136148 -0.122342 1.11715  	0.60325 -0.296275 -0.648455 0.357514 
Tue Nov 26 20:35:09 2013 	salt_test 	0.989546 	3.7272 	0.140562 -0.133604 1.11326  	0.684677 0.175045 0.175061 0.0567887 
Tue Nov 26 20:35:27 2013 	salt_test 	0.848037 	3.79302 	0.136011 -0.124409 1.11726  	0.625917 -0.238378 -0.627346 0.397293 
Tue Nov 26 20:44:36 2013 	salt 	1 	3.37572 	0.140825 -0.133989 1.11044  	0.577239 -0.413041 0.176844 0.463906 
Tue Nov 26 20:45:07 2013 	salt 	0.852232 	4.02223 	0.141238 -0.11738 1.1191  	0.699927 0.100159 0.0927156 0.0422369 
Tue Nov 26 20:46:46 2013 	salt 	1 	3.18157 	0.140288 -0.129886 1.10882  	0.331179 -0.170243 0.321531 0.627229 
Tue Nov 26 20:47:16 2013 	salt 	0.852232 	4.02223 	0.141238 -0.11738 1.1191  	0.699927 0.100159 0.0927156 0.0422369 
Tue Nov 26 20:49:30 2013 	salt 	0.852232 	4.02223 	0.141238 -0.11738 1.1191  	0.699927 0.100159 0.0927156 0.0422369 
Tue Nov 26 20:50:02 2013 	salt 	0.852232 	4.02223 	0.141238 -0.11738 1.1191  	0.699927 0.100159 0.0927156 0.0422369 
Tue Nov 26 20:53:42 2013 	salt_test 	0.989546 	3.7272 	0.140562 -0.133604 1.11326  	0.684677 0.175045 0.175061 0.0567887 
Tue Nov 26 20:55:41 2013 	salt_test 	0.470741 	4.37304 	0.142885 -0.128642 1.11166  	0.695571 0.127486 0.118994 0.0499137 
Tue Nov 26 20:55:58 2013 	salt 	0.469949 	4.26848 	0.140785 -0.132157 1.11118  	0.682332 -0.184997 0.12305 0.148415 
Tue Nov 26 20:56:31 2013 	salt_new 	0.470741 	4.37304 	0.142885 -0.128642 1.11166  	0.695571 0.127486 0.118994 0.0499137 
Tue Nov 26 20:57:00 2013 	salt1 	0.474425 	4.32799 	0.142294 -0.132392 1.11087  	0.571639 -0.418356 0.169047 0.484449 
Wed Nov 27 13:00:46 2013 	salt 	0.474425 	4.32799 	0.142294 -0.132392 1.11087  	0.571639 -0.418356 0.169047 0.484449 
Wed Nov 27 13:02:13 2013 	salt 	0.474425 	4.32799 	0.142294 -0.132392 1.11087  	0.571639 -0.418356 0.169047 0.484449 
Wed Nov 27 13:02:29 2013 	salt_new 	0.470741 	4.37304 	0.142885 -0.128642 1.11166  	0.695571 0.127486 0.118994 0.0499137 
Wed Nov 27 13:05:00 2013 	salt1 	0.474425 	4.32799 	0.142294 -0.132392 1.11087  	0.571639 -0.418356 0.169047 0.484449 
Wed Nov 27 13:05:13 2013 	salt_new 	0.470741 	4.37304 	0.142885 -0.128642 1.11166  	0.695571 0.127486 0.118994 0.0499137 
Wed Nov 27 13:10:01 2013 	salt1 	0.452685 	4.06831 	0.140783 -0.129002 1.10784  	0.315939 -0.160098 0.318581 0.631857 
Wed Nov 27 13:10:44 2013 	salt_test 	0.470741 	4.37304 	0.142885 -0.128642 1.11166  	0.695571 0.127486 0.118994 0.0499137 
Wed Nov 27 13:17:41 2013 	salt_test 	0.470741 	4.37304 	0.142885 -0.128642 1.11166  	0.695571 0.127486 0.118994 0.0499137 
Wed Nov 27 13:17:56 2013 	salt_new 	0.472692 	4.69981 	0.143024 -0.129386 1.11072  	0.530379 0.456503 -0.0752187 -0.710384 
Wed Nov 27 13:20:31 2013 	salt_new 	0.989546 	3.7272 	0.140562 -0.133604 1.11326  	0.684677 0.175045 0.175061 0.0567887 
Wed Nov 27 13:23:34 2013 	salt_new 	0.470741 	4.37304 	0.142885 -0.128642 1.11166  	0.695571 0.127486 0.118994 0.0499137 
Wed Nov 27 15:50:34 2013 	salt 	1 	3.37572 	0.140825 -0.133989 1.11044  	0.577239 -0.413041 0.176844 0.463906 
Wed Nov 27 19:37:11 2013 	salt1 	0.999875 	3.37562 	0.141367 -0.133461 1.11031  	0.676003 -0.164858 -0.533162 0.481228 
Wed Nov 27 19:54:33 2013 	salt 	1 	3.37572 	0.140825 -0.133989 1.11044  	0.577239 -0.413041 0.176844 0.463906 
Wed Nov 27 20:43:26 2013 	salt_test 	0.989546 	3.7272 	0.140562 -0.133604 1.11326  	0.684677 0.175045 0.175061 0.0567887 
