Date and time               |  Scene Name   |  Instances |  Object name  | Inlier Fraction |  Error  |     T(| x | y | z |)     |    R(| w | x | y | z |)   |
Wed Nov 27 20:57:39 2013 	scene_salt_1 	1 	salt 	1 	3.37572 	0.140825 -0.133989 1.11044  	0.577239 -0.413041 0.176844 0.463906 
Wed Nov 27 20:59:20 2013 	scene_salt_1 	1 	salt_test 	0.99949 	3.57536 	0.138182 -0.13311 1.11194  	0.567562 0.434793 -0.0572347 -0.696817 
Wed Dec 4 19:58:04 2013 	box 	1 	salt 	0.474425 	4.32799 	0.142294 -0.132392 1.11087  	0.571639 -0.418356 0.169047 0.484449 
Wed Dec 4 20:00:10 2013 	salt 	1 	salt 	0.99975 	2.57955 	0.150055 -0.127245 1.10802  	0.563874 -0.420703 0.169104 0.512576 
Mon Dec 16 10:04:35 2013 	dsa 	1 	box 	0.476145 	4.54186 	0.00123948 -0.1596 -0.0572833  	-0.00834747 -0.00941054 0.70705 -0.00195948 
Mon Dec 16 10:09:28 2013 	dsa 	1 	box 	0.498285 	4.60443 	-0.00353828 -0.164059 -0.05118  	0.464115 0.586299 0.556744 -0.361783 
Mon Dec 16 10:10:55 2013 	dsa 	1 	box 	0.476145 	4.54186 	0.00123948 -0.1596 -0.0572833  	-0.00834747 -0.00941054 0.70705 -0.00195948 
Mon Dec 16 10:13:00 2013 	dsa 	1 	box 	0.466506 	4.37894 	0.0184502 -0.156077 -0.0567519  	0.755579 -0.652226 -0.0427831 0.0432603 
Mon Dec 16 10:13:55 2013 	dsa 	1 	box 	0.472921 	4.68388 	0.00296665 -0.158052 -0.0620948  	0.00309202 0.00366841 0.707098 0.000835429 
Mon Dec 16 10:15:45 2013 	dsa 	1 	box 	1 	1.4896 	0.146885 -0.552472 0.110168  	0.701113 0.145038 -0.682262 0.148064 
Mon Dec 16 10:17:41 2013 	dsa 	1 	box 	1 	2.61103 	0.329598 -0.877968 0.0267288  	0.0114153 0.999851 -0.0125562 0.00328093 
Mon Dec 16 10:17:41 2013 	dsa 	1 	box 	0.582054 	4.66657 	0.329598 -0.877968 0.0267288  	0.0114153 0.999851 -0.0125562 0.00328093 
Mon Dec 16 10:18:40 2013 	dsa 	1 	box 	0.705224 	3.45534 	0.0965588 -0.169295 0.0249055  	0.608573 -0.482917 -0.265727 -0.028926 
Mon Dec 16 10:18:40 2013 	dsa 	1 	box 	0.416045 	5.03658 	0.0965588 -0.169295 0.0249055  	0.608573 -0.482917 -0.265727 -0.028926 
Mon Dec 16 10:18:40 2013 	dsa 	1 	box 	0.391791 	4.55677 	0.0965588 -0.169295 0.0249055  	0.608573 -0.482917 -0.265727 -0.028926 
Mon Dec 16 10:18:40 2013 	dsa 	1 	box 	0.363806 	5.12636 	0.0965588 -0.169295 0.0249055  	0.608573 -0.482917 -0.265727 -0.028926 
Mon Dec 16 10:18:40 2013 	dsa 	1 	box 	0.345149 	4.81738 	0.0965588 -0.169295 0.0249055  	0.608573 -0.482917 -0.265727 -0.028926 
Mon Dec 16 10:18:40 2013 	dsa 	1 	box 	0.313433 	4.64383 	0.0965588 -0.169295 0.0249055  	0.608573 -0.482917 -0.265727 -0.028926 
Mon Dec 16 10:19:34 2013 	dsa 	1 	box 	1 	2.61103 	0.329598 -0.877968 0.0267288  	0.0114153 0.999851 -0.0125562 0.00328093 
Mon Dec 16 10:19:34 2013 	dsa 	1 	box 	0.582054 	4.66657 	0.329598 -0.877968 0.0267288  	0.0114153 0.999851 -0.0125562 0.00328093 
Mon Dec 16 10:20:32 2013 	dsa 	1 	box 	1 	2.63023 	0.146859 -0.552704 0.110362  	0.698705 0.148524 -0.683924 0.148325 
Mon Dec 16 12:26:59 2013 	adw 	1 	box 	1 	2.63023 	0.146859 -0.552704 0.110362  	0.698705 0.148524 -0.683924 0.148325 
Mon Dec 16 12:45:56 2013 	sq 	1 	box 	1 	2.63023 	0.146859 -0.552704 0.110362  	0.698705 0.148524 -0.683924 0.148325 
Mon Dec 16 12:57:58 2013 	cdsd 	1 	GT_box 	0.912298 	5.24608 	0.145525 -0.552634 0.0604835  	0.705317 0.00484827 -0.0495547 0.0508987 
Thu Dec 19 09:27:30 2013 	scene1 	1 	box 	1 	2.63023 	0.146859 -0.552704 0.110362  	0.698705 0.148524 -0.683924 0.148325 
Mon Mar 3 10:01:35 2014 	dfwew 	1 	salt 	0.474425 	4.37193 	0.290643 0.274476 0.683506  	-0.158914 0.894195 -0.17156 0.381746 
Mon Mar 3 10:01:35 2014 	dfwew 	1 	salt 	0.308184 	4.71432 	0.290643 0.274476 0.683506  	-0.158914 0.894195 -0.17156 0.381746 
Mon Mar 3 10:03:04 2014 	dfwew 	1 	salt 	0.436556 	4.78483 	0.144715 -0.130606 1.10968  	0.689876 0.0994757 -0.32618 0.638578 
Mon Mar 3 10:08:19 2014 	sadd 	1 	salt1 	0.993749 	4.17318 	0.14163 -0.133575 1.10908  	0.694681 0.0671124 -0.346229 0.626929 
